title,price,savings_per,product_link
"pikku Premium Cotton Baby Boys & Girls Summer Clothing Half Sleeves T-Shirt Pant Set for Day/Night (Soft, Comfortable)",374,-63%,https://www.amazon.in/pikku-Premium-Clothing-Sleeves-Comfortable/dp/B0CXM75R2M/ref=sr_1_108_sspa?dib=eyJ2IjoiMSJ9.1jNpwAe6H5648DcD8_rov8xHiMoDFAXnqk1eQJeTXpDfxIH8lFAZ4Odk5lLkvxiX_CTrw-7OZpEOZGvNm7yk_EI9z30U_EKCjvxOZHsubfzLf2ZtSM5EAKdTjK6-ea_QbvDIurg-luU8e_wwtJ9I806zdrpP3dApy9mg1W7vlVmEgXUfE3OOpyu7g7tEEc4VH2UFA-4uJfzH4NjfvruRaexdA2QWs3O1lSy9jhp-8DOHBxx1eA77nJQoTEJEZpfX9OdjePNz-BP9QGuo0KA8rSA7mQiagu44TYrj1au_tyg.JMp-J9O0vmYFxtPR-0AHHthPuup1yfnajxXrcUA_8c4&dib_tag=se&keywords=baby+clothes+for+girls+6-12+month&qid=1715329535&sr=8-108-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1
PW PLATYPUS WORLD Baby Girl's New south Indian traditional pattu pavadai Jecquard Frock Dress,539,-59%,https://www.amazon.in/PW-PLATYPUS-WORLD-traditional-Jecquard/dp/B0CQT3NB45/ref=sr_1_318_sspa?dib=eyJ2IjoiMSJ9.JsGS3D8fZrDyP64qDmrGsJqqqm-k4-BIm7IAuawkxyKEvzWhzOHGwpI_UtJK8Wi7hF1mG5FM2cLgoVm0DU_gvlKxqmlylVcvBsMJM4bd-oP8gixRab6iTGAOxFiWeqx9xItKiohsTnfe_VnrECA9DrbUoq_47XRa0_oZsntk-GpYMM1Rv1TvnePHz7A5B05L_DT1HeYL9RjicB0s6wZsi90LRekwASM7Lny6jc7QAWXZYEuloW4efGcCaJz2zpiADBRF2BVOkOh_kCdqY-i58Q.a4vnGOiKW3ZfM9utc5vAK_h0LiqMaZEVUtIK57H4vCE&dib_tag=se&keywords=baby+clothes+for+girls+6-12+month&qid=1715329535&sr=8-318-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1
Hopscotch Baby Girls Cotton Lemon Print Sleeveless Onesie with Headband in Yellow Color,759,-40%,https://www.amazon.in/Cat-Papa-Hopscotch-Sleeveless-Headband/dp/B07WR6C1ZF/ref=sr_1_300_sspa?dib=eyJ2IjoiMSJ9.dAuEImsuq6pwi0ZXXc00iWIV9tMCynY74oiCxuLRm54z2LIy5dP8KARKQEVcH2g5rZRVsiecJxnuPzLoEnOQsmppW34cZ7_hbpUfc5oVWUzst8L0kFq2_xMox8fq5ZZLJlF_kNagrDgGcdzJxW4JYzU8btdzowcKKeivHFLZS8KkVHA1heX30ibuK_FqIGUM7_98YiKhvuVcif8xUPqEPutJ7C8leWT3XcAc-DCK1ACa4anZhksW63WqyADgGpZRqWDbG4W8RnRMgqtAtrntA-Z6nz6C9G464Xl-mbdSIr4.afznemXo5_4t-UEgB7w0YGuT69cFpFxhOLt0ybtWR-w&dib_tag=se&keywords=baby+clothes+for+girls+6-12+month&qid=1715329535&sr=8-300-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1
Hopscotch Girls Maroon Cotton Solid Romper With Headband,527,-56%,https://www.amazon.in/Hopscotch-Spandex-Sleeves-Rompers-Mfn-3156301/dp/B08HX1652H/ref=sr_1_299_sspa?dib=eyJ2IjoiMSJ9.dAuEImsuq6pwi0ZXXc00iWIV9tMCynY74oiCxuLRm54z2LIy5dP8KARKQEVcH2g5rZRVsiecJxnuPzLoEnOQsmppW34cZ7_hbpUfc5oVWUzst8L0kFq2_xMox8fq5ZZLJlF_kNagrDgGcdzJxW4JYzU8btdzowcKKeivHFLZS8KkVHA1heX30ibuK_FqIGUM7_98YiKhvuVcif8xUPqEPutJ7C8leWT3XcAc-DCK1ACa4anZhksW63WqyADgGpZRqWDbG4W8RnRMgqtAtrntA-Z6nz6C9G464Xl-mbdSIr4.afznemXo5_4t-UEgB7w0YGuT69cFpFxhOLt0ybtWR-w&dib_tag=se&keywords=baby+clothes+for+girls+6-12+month&qid=1715329535&sr=8-299-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1
Hopscotch Girls Polyester Floral Print Ruffled Onesie with Headband in Red Color,889,-11%,https://www.amazon.in/Hopscotch-Polyester-Ruffled-Headband-LJS-4126945/dp/B0B7RMJSKQ/ref=sr_1_298_sspa?dib=eyJ2IjoiMSJ9.dAuEImsuq6pwi0ZXXc00iWIV9tMCynY74oiCxuLRm54z2LIy5dP8KARKQEVcH2g5rZRVsiecJxnuPzLoEnOQsmppW34cZ7_hbpUfc5oVWUzst8L0kFq2_xMox8fq5ZZLJlF_kNagrDgGcdzJxW4JYzU8btdzowcKKeivHFLZS8KkVHA1heX30ibuK_FqIGUM7_98YiKhvuVcif8xUPqEPutJ7C8leWT3XcAc-DCK1ACa4anZhksW63WqyADgGpZRqWDbG4W8RnRMgqtAtrntA-Z6nz6C9G464Xl-mbdSIr4.afznemXo5_4t-UEgB7w0YGuT69cFpFxhOLt0ybtWR-w&dib_tag=se&keywords=baby+clothes+for+girls+6-12+month&qid=1715329535&sr=8-298-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1
Kidbea 100% Organic Cotton Onesie | Bodysuit | Nightsuit | Jumpsuit Combo of 4 Designs For New Born baby Summer Wear,899,-78%,https://www.amazon.in/Kidbea-Organic-Bodysuit-Jumpsuit-Combo/dp/B0D3L63L3S/ref=sr_1_297_sspa?dib=eyJ2IjoiMSJ9.dAuEImsuq6pwi0ZXXc00iWIV9tMCynY74oiCxuLRm54z2LIy5dP8KARKQEVcH2g5rZRVsiecJxnuPzLoEnOQsmppW34cZ7_hbpUfc5oVWUzst8L0kFq2_xMox8fq5ZZLJlF_kNagrDgGcdzJxW4JYzU8btdzowcKKeivHFLZS8KkVHA1heX30ibuK_FqIGUM7_98YiKhvuVcif8xUPqEPutJ7C8leWT3XcAc-DCK1ACa4anZhksW63WqyADgGpZRqWDbG4W8RnRMgqtAtrntA-Z6nz6C9G464Xl-mbdSIr4.afznemXo5_4t-UEgB7w0YGuT69cFpFxhOLt0ybtWR-w&dib_tag=se&keywords=baby+clothes+for+girls+6-12+month&qid=1715329535&sr=8-297-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1
"beetot Baby Girls Dress for New Born Baby, Baby Cotton Dress, Baby Girls Dress 3-18 Months, Baby Girl Clothes, Baby Girl Dress 3-6 Months, 6-12 Months, 12-18 Months",400,-60%,https://www.amazon.in/beetot-cotton-infant-clothes-Months/dp/B0C4Q4YSR2/ref=sr_1_296?dib=eyJ2IjoiMSJ9.dAuEImsuq6pwi0ZXXc00iWIV9tMCynY74oiCxuLRm54z2LIy5dP8KARKQEVcH2g5rZRVsiecJxnuPzLoEnOQsmppW34cZ7_hbpUfc5oVWUzst8L0kFq2_xMox8fq5ZZLJlF_kNagrDgGcdzJxW4JYzU8btdzowcKKeivHFLZS8KkVHA1heX30ibuK_FqIGUM7_98YiKhvuVcif8xUPqEPutJ7C8leWT3XcAc-DCK1ACa4anZhksW63WqyADgGpZRqWDbG4W8RnRMgqtAtrntA-Z6nz6C9G464Xl-mbdSIr4.afznemXo5_4t-UEgB7w0YGuT69cFpFxhOLt0ybtWR-w&dib_tag=se&keywords=baby+clothes+for+girls+6-12+month&qid=1715329535&sr=8-296
Lehnvel Baby Girl's Kid's Pattu Pavadai Frock,499,-62%,https://www.amazon.in/Lehnvel-Girls-Pattu-Pavadai-Months/dp/B0BZVGF3MT/ref=sr_1_295?dib=eyJ2IjoiMSJ9.dAuEImsuq6pwi0ZXXc00iWIV9tMCynY74oiCxuLRm54z2LIy5dP8KARKQEVcH2g5rZRVsiecJxnuPzLoEnOQsmppW34cZ7_hbpUfc5oVWUzst8L0kFq2_xMox8fq5ZZLJlF_kNagrDgGcdzJxW4JYzU8btdzowcKKeivHFLZS8KkVHA1heX30ibuK_FqIGUM7_98YiKhvuVcif8xUPqEPutJ7C8leWT3XcAc-DCK1ACa4anZhksW63WqyADgGpZRqWDbG4W8RnRMgqtAtrntA-Z6nz6C9G464Xl-mbdSIr4.afznemXo5_4t-UEgB7w0YGuT69cFpFxhOLt0ybtWR-w&dib_tag=se&keywords=baby+clothes+for+girls+6-12+month&qid=1715329535&sr=8-295
"PARANETIC Cotton Boy And Girl'S Casual Of Printed Full Sleeves Soft Hosiery Cotton Vests,Jhabla T-Shirts With Pyjama Pants Set For Kids Infant Toddler Set Of 3",489,-51%,https://www.amazon.in/PARANETIC-Printed-T-Shirts-Multicolour-6-12Months/dp/B0CWCS7XS9/ref=sr_1_293?dib=eyJ2IjoiMSJ9.dAuEImsuq6pwi0ZXXc00iWIV9tMCynY74oiCxuLRm54z2LIy5dP8KARKQEVcH2g5rZRVsiecJxnuPzLoEnOQsmppW34cZ7_hbpUfc5oVWUzst8L0kFq2_xMox8fq5ZZLJlF_kNagrDgGcdzJxW4JYzU8btdzowcKKeivHFLZS8KkVHA1heX30ibuK_FqIGUM7_98YiKhvuVcif8xUPqEPutJ7C8leWT3XcAc-DCK1ACa4anZhksW63WqyADgGpZRqWDbG4W8RnRMgqtAtrntA-Z6nz6C9G464Xl-mbdSIr4.afznemXo5_4t-UEgB7w0YGuT69cFpFxhOLt0ybtWR-w&dib_tag=se&keywords=baby+clothes+for+girls+6-12+month&qid=1715329535&sr=8-293
PW PLATYPUS WORLD Baby Girl's New south Indian traditional pattu pavadai Jecquard Frock Dress,539,-59%,https://www.amazon.in/PW-PLATYPUS-WORLD-traditional-Jecquard/dp/B0CQT138MZ/ref=sr_1_294?dib=eyJ2IjoiMSJ9.dAuEImsuq6pwi0ZXXc00iWIV9tMCynY74oiCxuLRm54z2LIy5dP8KARKQEVcH2g5rZRVsiecJxnuPzLoEnOQsmppW34cZ7_hbpUfc5oVWUzst8L0kFq2_xMox8fq5ZZLJlF_kNagrDgGcdzJxW4JYzU8btdzowcKKeivHFLZS8KkVHA1heX30ibuK_FqIGUM7_98YiKhvuVcif8xUPqEPutJ7C8leWT3XcAc-DCK1ACa4anZhksW63WqyADgGpZRqWDbG4W8RnRMgqtAtrntA-Z6nz6C9G464Xl-mbdSIr4.afznemXo5_4t-UEgB7w0YGuT69cFpFxhOLt0ybtWR-w&dib_tag=se&keywords=baby+clothes+for+girls+6-12+month&qid=1715329535&sr=8-294
HAP Girls' Cotton Bloomers (Pack of 10),500,-70%,https://www.amazon.in/Hap-Cotton-Bloomer-Drawer-Multicolour/dp/B01EFX75GY/ref=sr_1_291?dib=eyJ2IjoiMSJ9.dAuEImsuq6pwi0ZXXc00iWIV9tMCynY74oiCxuLRm54z2LIy5dP8KARKQEVcH2g5rZRVsiecJxnuPzLoEnOQsmppW34cZ7_hbpUfc5oVWUzst8L0kFq2_xMox8fq5ZZLJlF_kNagrDgGcdzJxW4JYzU8btdzowcKKeivHFLZS8KkVHA1heX30ibuK_FqIGUM7_98YiKhvuVcif8xUPqEPutJ7C8leWT3XcAc-DCK1ACa4anZhksW63WqyADgGpZRqWDbG4W8RnRMgqtAtrntA-Z6nz6C9G464Xl-mbdSIr4.afznemXo5_4t-UEgB7w0YGuT69cFpFxhOLt0ybtWR-w&dib_tag=se&keywords=baby+clothes+for+girls+6-12+month&qid=1715329535&sr=8-291
MINITATU Baby-Girls Cotton Cartoon Clothing Set Pack of 1,479,-74%,https://www.amazon.in/MINITATU-Navy-Blue-Sleeve-T-Shirt-Pajamas/dp/B09BBFZVQX/ref=sr_1_292?dib=eyJ2IjoiMSJ9.dAuEImsuq6pwi0ZXXc00iWIV9tMCynY74oiCxuLRm54z2LIy5dP8KARKQEVcH2g5rZRVsiecJxnuPzLoEnOQsmppW34cZ7_hbpUfc5oVWUzst8L0kFq2_xMox8fq5ZZLJlF_kNagrDgGcdzJxW4JYzU8btdzowcKKeivHFLZS8KkVHA1heX30ibuK_FqIGUM7_98YiKhvuVcif8xUPqEPutJ7C8leWT3XcAc-DCK1ACa4anZhksW63WqyADgGpZRqWDbG4W8RnRMgqtAtrntA-Z6nz6C9G464Xl-mbdSIr4.afznemXo5_4t-UEgB7w0YGuT69cFpFxhOLt0ybtWR-w&dib_tag=se&keywords=baby+clothes+for+girls+6-12+month&qid=1715329535&sr=8-292
