title,price,savings_per,product_link
"Portronics Toad 32 Wireless Mouse with 6 Buttons, 2.4 GHz Connectivity, 10m Working Range, Ergonomic Design, Adjustable Optical DPI, Auto Power Saving, for Laptop & PC(Grey)",398,-60%,https://www.amazon.in/Portronics-Wireless-Connectivity-Ergonomic-Adjustable/dp/B0CMXMK21C/ref=sr_1_312_sspa?dib=eyJ2IjoiMSJ9.FGbCNhlsbJDc7oFHk5XMvIddm21EgOvJ4x5ZyY7ACgg.j6Z3-lsZKpUD6auc0lf8IUlpuSnWzTI4Q9qgI04zdF0&dib_tag=se&keywords=mouse&qid=1715327412&sr=8-312-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1
"Portronics Toad 101 Wired Optical Mouse with 1200 DPI, Plug & Play, Hi-Optical Tracking, 1.25M Cable Length, 30 Million Click Life(Black)",117,-77%,https://www.amazon.in/Portronics-Optical-Hi-Optical-Tracking-Million/dp/B0BRKSQ7Z2/ref=sr_1_311_sspa?dib=eyJ2IjoiMSJ9.FGbCNhlsbJDc7oFHk5XMvIddm21EgOvJ4x5ZyY7ACgg.j6Z3-lsZKpUD6auc0lf8IUlpuSnWzTI4Q9qgI04zdF0&dib_tag=se&keywords=mouse&qid=1715327412&sr=8-311-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1
"Perixx [Hardware Update PERIMICE-513N, Wired Ergonomic Vertical Mouse - 1000/1500/2000 DPI - Natural Ergonomic Vertical Design - Recommended with RSI User","1,699",-6%,https://www.amazon.in/Hardware-Perixx-PERIMICE-513N-Ergonomic-Vertical/dp/B00GZIA2AE/ref=sr_1_310_sspa?dib=eyJ2IjoiMSJ9.FGbCNhlsbJDc7oFHk5XMvIddm21EgOvJ4x5ZyY7ACgg.j6Z3-lsZKpUD6auc0lf8IUlpuSnWzTI4Q9qgI04zdF0&dib_tag=se&keywords=mouse&qid=1715327412&sr=8-310-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1
"Talabat Wireless Mouse Optical Mouse,Bluetooth Gaming Mouse with RGB Lights, 2.4 GHz with USB Mice Nano Receiver,Silent Buttons Rechargeable, Design for PC/Mac/Laptop (Silver-4)",549,-61%,https://www.amazon.in/Talabat-Wireless-Bluetooth-Portable-Rechargeable/dp/B0BMM3BBV5/ref=sr_1_309_sspa?dib=eyJ2IjoiMSJ9.FGbCNhlsbJDc7oFHk5XMvIddm21EgOvJ4x5ZyY7ACgg.j6Z3-lsZKpUD6auc0lf8IUlpuSnWzTI4Q9qgI04zdF0&dib_tag=se&keywords=mouse&qid=1715327412&sr=8-309-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1
"Logitech M240 Silent Bluetooth Mouse, Wireless, Compact, Portable, Smooth Tracking, 18-Month Battery, for Windows, macOS, ChromeOS, Compatible with PC, Mac, Laptop, Tablets - Off White","1,498",-6%,https://www.amazon.in/Logitech-Bluetooth-Wireless-Portable-Compatible/dp/B0C5324NW4/ref=sr_1_308?dib=eyJ2IjoiMSJ9.FGbCNhlsbJDc7oFHk5XMvIddm21EgOvJ4x5ZyY7ACgg.j6Z3-lsZKpUD6auc0lf8IUlpuSnWzTI4Q9qgI04zdF0&dib_tag=se&keywords=mouse&qid=1715327412&sr=8-308
"Razer Cobra Pro Compact Wireless Gaming Mouse with Underglow Lighting I High Speed Wireless, Bluetooth, 8 Buttons, 3rd Gen 30K Optical Sensor Switch, Focus Pro-RZ01-04660100-R3A1","11,999",-44%,https://www.amazon.in/Razer-Wireless-Underglow-Bluetooth-Pro-RZ01-04660100-R3A1/dp/B0CB3ZQ39P/ref=sr_1_307?dib=eyJ2IjoiMSJ9.FGbCNhlsbJDc7oFHk5XMvIddm21EgOvJ4x5ZyY7ACgg.j6Z3-lsZKpUD6auc0lf8IUlpuSnWzTI4Q9qgI04zdF0&dib_tag=se&keywords=mouse&qid=1715327412&sr=8-307
HP Z3700 USB Wireless Mouse/2.4GHz Wireless Connection/ 1200DPI (Silver),998,-33%,https://www.amazon.in/HP-Z3700-Wireless-Mouse-Silver/dp/B01KK09ZKU/ref=sr_1_306_sspa?dib=eyJ2IjoiMSJ9.FGbCNhlsbJDc7oFHk5XMvIddm21EgOvJ4x5ZyY7ACgg.j6Z3-lsZKpUD6auc0lf8IUlpuSnWzTI4Q9qgI04zdF0&dib_tag=se&keywords=mouse&qid=1715327412&sr=8-306-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&psc=1
atdaraz Wireless Mouse Mini Car Shape Professional Optical Positioning with USB Receiver for Laptop for Computers for Office(Blue),799,-60%,https://www.amazon.in/atdaraz-Wireless-Professional-Positioning-Computers/dp/B0BYZL2J4F/ref=sr_1_305_sspa?dib=eyJ2IjoiMSJ9.FGbCNhlsbJDc7oFHk5XMvIddm21EgOvJ4x5ZyY7ACgg.j6Z3-lsZKpUD6auc0lf8IUlpuSnWzTI4Q9qgI04zdF0&dib_tag=se&keywords=mouse&qid=1715327412&sr=8-305-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&psc=1
"HP Wired Mouse 100 with 1600 DPI Optical Sensor, USB Plug-and -Play,ambidextrous Design, Built-in Scrolling and 3 Handy Buttons. 3-Years Warranty (6VY96AA)",352,-12%,https://www.amazon.in/HP-Wired-Mouse-100-6VY96AA/dp/B083RD1J99/ref=sr_1_22_sspa?dib=eyJ2IjoiMSJ9.hW6LOtg9julE8rQYJd1l-BMX96bssyw4FggCh95LoaBV0lITno6sv2Vs4EdZxxY_AMAiF4OrEYvk7m5okg2rIf9ZYjjAG3NFGzaQcp_pmmxkDkGSNenFmeSncP2VUbMUPYhpUTlzvVtpkcPD7XGlI30X-P3llhFcbrlFPfNRzGAnCTfwgMWkuPK2aCGeLK0Eu4aaHNJJk6jOHz-bN47yRUPx9AR4dcCIdfZXoRBftMk.crSjCr4j2K8W2744DGPPptBO44BIBDXJCR13ylvyMNc&dib_tag=se&keywords=mouse&qid=1715327411&sr=8-22-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1
"HP 410 Slim Bluetooth Mouse with 1200 DPI Optical Sensor,Ambidextrous Design,Compact Size,Portable, 12 Months Battery Life, 3 Years Warranty",729,-71%,https://www.amazon.in/HP-Bluetooth-Optical-Ambidextrous-Portable/dp/B0B2PGJHMT/ref=sr_1_21_sspa?dib=eyJ2IjoiMSJ9.hW6LOtg9julE8rQYJd1l-BMX96bssyw4FggCh95LoaBV0lITno6sv2Vs4EdZxxY_AMAiF4OrEYvk7m5okg2rIf9ZYjjAG3NFGzaQcp_pmmxkDkGSNenFmeSncP2VUbMUPYhpUTlzvVtpkcPD7XGlI30X-P3llhFcbrlFPfNRzGAnCTfwgMWkuPK2aCGeLK0Eu4aaHNJJk6jOHz-bN47yRUPx9AR4dcCIdfZXoRBftMk.crSjCr4j2K8W2744DGPPptBO44BIBDXJCR13ylvyMNc&dib_tag=se&keywords=mouse&qid=1715327411&sr=8-21-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1
"Amazon Basics Wired Mouse | 1000 DPI Optical Sensor | Plug and Play | Compatible with PC, Laptop (Black)",139,-60%,https://www.amazon.in/Amazon-Basics-Optical-Sensor-Compatible/dp/B0C9TJ1ZW2/ref=sr_1_19?dib=eyJ2IjoiMSJ9.hW6LOtg9julE8rQYJd1l-BMX96bssyw4FggCh95LoaBV0lITno6sv2Vs4EdZxxY_AMAiF4OrEYvk7m5okg2rIf9ZYjjAG3NFGzaQcp_pmmxkDkGSNenFmeSncP2VUbMUPYhpUTlzvVtpkcPD7XGlI30X-P3llhFcbrlFPfNRzGAnCTfwgMWkuPK2aCGeLK0Eu4aaHNJJk6jOHz-bN47yRUPx9AR4dcCIdfZXoRBftMk.crSjCr4j2K8W2744DGPPptBO44BIBDXJCR13ylvyMNc&dib_tag=se&keywords=mouse&qid=1715327411&sr=8-19
