title,price,savings_per,product_link
"Redmi Note 13 Pro+ (Fusion Purple, 8GB RAM, 256GB Storage) | World's First Mediatek 7200 Ultra 5G | 200MP Hi-Res Camera | 1.5K Curved AMOLED | 120W HyperCharge","30,999",-9%,https://www.amazon.in/Redmi-Fusion-Storage-Mediatek-HyperCharge/dp/B0CRQ8Q3QP/ref=sr_1_309_sspa?dib=eyJ2IjoiMSJ9.Xgs2eaHs8QEerkbFDbgrPjpBUrN1PXhFeYRh5pXKFIq_OahNLuGfQKSfUe2ELZGHBQxdxkp6XEuwKV9zfwV5OrKbQaluciQK35j84d77dzAM3pwyOhdE5133V5g78YRyzOIUDnPifiHDAwS7qULC2rHLMaPuoUmgIRRDz1Jg1RrCACX4Q04MZeuuuXSepeGXOO0P5cVGKWo_IT1_CCNJnqw82oqmixTOGvVruxnGsek.mWznG9UNJOHMcgELpRvLiLNatRpe8Vr2g0XyUI9_2RI&dib_tag=se&keywords=mobile&qid=1715326860&sr=8-309-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1
"Samsung Galaxy A05 (Black, 4GB, 64GB Storage) | 50 MP Main Camera | Upto 8GB RAM with RAM Plus | MediaTek Helio G85 | 5000 mAh Battery","7,999",-36%,https://www.amazon.in/Samsung-Galaxy-Storage-MediaTek-Battery/dp/B0CJ2H824T/ref=sr_1_308?dib=eyJ2IjoiMSJ9.Xgs2eaHs8QEerkbFDbgrPjpBUrN1PXhFeYRh5pXKFIq_OahNLuGfQKSfUe2ELZGHBQxdxkp6XEuwKV9zfwV5OrKbQaluciQK35j84d77dzAM3pwyOhdE5133V5g78YRyzOIUDnPifiHDAwS7qULC2rHLMaPuoUmgIRRDz1Jg1RrCACX4Q04MZeuuuXSepeGXOO0P5cVGKWo_IT1_CCNJnqw82oqmixTOGvVruxnGsek.mWznG9UNJOHMcgELpRvLiLNatRpe8Vr2g0XyUI9_2RI&dib_tag=se&keywords=mobile&qid=1715326860&sr=8-308
"Redmi 13C 5G (Startrail Green, 8GB RAM, 256GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display","13,999",-22%,https://www.amazon.in/Redmi-Startrail-Storage-MediaTek-Dimensity/dp/B0CNX84MF4/ref=sr_1_310_sspa?dib=eyJ2IjoiMSJ9.Xgs2eaHs8QEerkbFDbgrPjpBUrN1PXhFeYRh5pXKFIq_OahNLuGfQKSfUe2ELZGHBQxdxkp6XEuwKV9zfwV5OrKbQaluciQK35j84d77dzAM3pwyOhdE5133V5g78YRyzOIUDnPifiHDAwS7qULC2rHLMaPuoUmgIRRDz1Jg1RrCACX4Q04MZeuuuXSepeGXOO0P5cVGKWo_IT1_CCNJnqw82oqmixTOGvVruxnGsek.mWznG9UNJOHMcgELpRvLiLNatRpe8Vr2g0XyUI9_2RI&dib_tag=se&keywords=mobile&qid=1715326860&sr=8-310-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1
"Redmi Note 13 5G (Stealth Black, 6GB RAM, 128GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera","16,999",-19%,https://www.amazon.in/Redmi-Stealth-Bezel-Less-Slimmest-Pro-Grade/dp/B0CQPHMWR3/ref=sr_1_294_sspa?dib=eyJ2IjoiMSJ9.iYhiPCu8Cegq51vL5lr9DCWS3Z5UVmZL8xPSc9ui0gBTsqE9XQAcpnCR9JonvytT3OTW4uiwnenBTvaZf_yxOg80slAoTV3kWgDDWZNzNu2CaGKoYDJcxsNqJWRYPGTpABrUODh-srujHr5rYvcihMOKaaIfZtx7n4hmrAx0SE8gtqwGJSKhoYYnWJ-hpG_QBjIe2owhDWW4uvdfa4OOQbZY0lNYxCbjL13WS0TLW2Y.tYo_8hZANxN3Au5nyRTEh--t2eqWJbOPSdvg85wz2HU&dib_tag=se&keywords=mobile&qid=1715326861&sr=8-294-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1
"TECNO Spark GO 2024 (Gravity Black,8GB* RAM, 128GB ROM)| Segment First 90Hz Dot-in Display with Dynamic Port & Dual Speakers with DTS| 5000mAh| 10W Type-C| Fingerprint Sensor| Octa-Core Processor","7,599",-11%,https://www.amazon.in/Gravity-Speakers-Fingerprint-Octa-Core-Processor/dp/B0CMZNCM11/ref=sr_1_292?dib=eyJ2IjoiMSJ9.iYhiPCu8Cegq51vL5lr9DCWS3Z5UVmZL8xPSc9ui0gBTsqE9XQAcpnCR9JonvytT3OTW4uiwnenBTvaZf_yxOg80slAoTV3kWgDDWZNzNu2CaGKoYDJcxsNqJWRYPGTpABrUODh-srujHr5rYvcihMOKaaIfZtx7n4hmrAx0SE8gtqwGJSKhoYYnWJ-hpG_QBjIe2owhDWW4uvdfa4OOQbZY0lNYxCbjL13WS0TLW2Y.tYo_8hZANxN3Au5nyRTEh--t2eqWJbOPSdvg85wz2HU&dib_tag=se&keywords=mobile&qid=1715326861&sr=8-292
"Redmi 13C 5G (Starlight Black, 8GB RAM, 256GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display","13,999",-22%,https://www.amazon.in/Redmi-Starlight-Storage-MediaTek-Dimensity/dp/B0CNX79YGX/ref=sr_1_293_sspa?dib=eyJ2IjoiMSJ9.iYhiPCu8Cegq51vL5lr9DCWS3Z5UVmZL8xPSc9ui0gBTsqE9XQAcpnCR9JonvytT3OTW4uiwnenBTvaZf_yxOg80slAoTV3kWgDDWZNzNu2CaGKoYDJcxsNqJWRYPGTpABrUODh-srujHr5rYvcihMOKaaIfZtx7n4hmrAx0SE8gtqwGJSKhoYYnWJ-hpG_QBjIe2owhDWW4uvdfa4OOQbZY0lNYxCbjL13WS0TLW2Y.tYo_8hZANxN3Au5nyRTEh--t2eqWJbOPSdvg85wz2HU&dib_tag=se&keywords=mobile&qid=1715326861&sr=8-293-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1
"TECNO Spark 20 | Gravity Black, (16GB*+128GB)| 32MP Selfie + 50MP Main Camera| 90Hz Dot-in Display with Dynamic Port & Dual Speakers with DTS| 5000mAh Battery |18W Type-C| Helio G85 Processor","8,499",-35%,https://www.amazon.in/Gravity-Display-Dynamic-Speakers-Processor/dp/B0CSJMRBYF/ref=sr_1_291?dib=eyJ2IjoiMSJ9.iYhiPCu8Cegq51vL5lr9DCWS3Z5UVmZL8xPSc9ui0gBTsqE9XQAcpnCR9JonvytT3OTW4uiwnenBTvaZf_yxOg80slAoTV3kWgDDWZNzNu2CaGKoYDJcxsNqJWRYPGTpABrUODh-srujHr5rYvcihMOKaaIfZtx7n4hmrAx0SE8gtqwGJSKhoYYnWJ-hpG_QBjIe2owhDWW4uvdfa4OOQbZY0lNYxCbjL13WS0TLW2Y.tYo_8hZANxN3Au5nyRTEh--t2eqWJbOPSdvg85wz2HU&dib_tag=se&keywords=mobile&qid=1715326861&sr=8-291
"Redmi 12 5G (Pastel Blue, 8GB RAM, 256GB Storage Without Offer","13,999",-30%,https://www.amazon.in/Redmi-Pastel-256GB-Storage-Without/dp/B0CWVGMNVF/ref=sr_1_290?dib=eyJ2IjoiMSJ9.iYhiPCu8Cegq51vL5lr9DCWS3Z5UVmZL8xPSc9ui0gBTsqE9XQAcpnCR9JonvytT3OTW4uiwnenBTvaZf_yxOg80slAoTV3kWgDDWZNzNu2CaGKoYDJcxsNqJWRYPGTpABrUODh-srujHr5rYvcihMOKaaIfZtx7n4hmrAx0SE8gtqwGJSKhoYYnWJ-hpG_QBjIe2owhDWW4uvdfa4OOQbZY0lNYxCbjL13WS0TLW2Y.tYo_8hZANxN3Au5nyRTEh--t2eqWJbOPSdvg85wz2HU&dib_tag=se&keywords=mobile&qid=1715326861&sr=8-290
POCO C65 Pastel Blue 4GB RAM 128GB ROM,"6,799",-38%,https://www.amazon.in/POCO-C65-Pastel-Blue-128GB/dp/B0CQG4RX37/ref=sr_1_288?dib=eyJ2IjoiMSJ9.iYhiPCu8Cegq51vL5lr9DCWS3Z5UVmZL8xPSc9ui0gBTsqE9XQAcpnCR9JonvytT3OTW4uiwnenBTvaZf_yxOg80slAoTV3kWgDDWZNzNu2CaGKoYDJcxsNqJWRYPGTpABrUODh-srujHr5rYvcihMOKaaIfZtx7n4hmrAx0SE8gtqwGJSKhoYYnWJ-hpG_QBjIe2owhDWW4uvdfa4OOQbZY0lNYxCbjL13WS0TLW2Y.tYo_8hZANxN3Au5nyRTEh--t2eqWJbOPSdvg85wz2HU&dib_tag=se&keywords=mobile&qid=1715326861&sr=8-288
"Samsung Galaxy M15 5G (Blue Topaz,4GB RAM,128GB Storage)| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+| Super AMOLED Display| Add to Cart and Get Travel Adapter at No Cost","11,999",-25%,https://www.amazon.in/Samsung-Storage-MediaTek-Dimensity-Security/dp/B0CYQ3D6VJ/ref=sr_1_287?dib=eyJ2IjoiMSJ9.iYhiPCu8Cegq51vL5lr9DCWS3Z5UVmZL8xPSc9ui0gBTsqE9XQAcpnCR9JonvytT3OTW4uiwnenBTvaZf_yxOg80slAoTV3kWgDDWZNzNu2CaGKoYDJcxsNqJWRYPGTpABrUODh-srujHr5rYvcihMOKaaIfZtx7n4hmrAx0SE8gtqwGJSKhoYYnWJ-hpG_QBjIe2owhDWW4uvdfa4OOQbZY0lNYxCbjL13WS0TLW2Y.tYo_8hZANxN3Au5nyRTEh--t2eqWJbOPSdvg85wz2HU&dib_tag=se&keywords=mobile&qid=1715326861&sr=8-287
